"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"111","Lorenzo Cain","36","MIL","43","156","-11","0","0","2","1","-8","-0.8","5","-3","-0.3",".480",".495","-0.5","0.4","-5","$18,000,000","Free Agency","8/H"
"112","Kole Calhoun*","34","TEX","114","402","-14","-1","0","-4","-5","-24","-2.7","14","-11","-1.4",".477",".484","-0.9","-1.0","-7","$5,200,000","Free Agency","97HD/8"
"113","Willie Calhoun*","27","2TM","22","62","-3","0","0","0","-2","-5","-0.6","2","-3","-0.4",".475",".498","-0.4","-0.2","-3","$1,300,000","","/D"
"114","Alex Call","27","2TM","36","91","1","-1","0","-2","-1","-3","-0.3","3","0","-0.1",".490",".498","0.1","-0.3","2","","Traded","/9H87"
"115","Johan Camargo#","28","PHI","52","166","-6","0","1","-1","2","-5","-0.5","6","1","0.0",".490",".497","0.1","0.1","2","$1,400,000","Free Agency","65H/43D"
"116","Daz Cameron","25","DET","21","70","-2","0","0","0","0","-2","-0.2","2","0","0.0",".490",".499","0.0","0.0","0","","Traded","9/8H"
"117","Luis Campusano","23","SDP","11","31","-1","-1","0","-1","0","-3","-0.3","1","-2","-0.2",".471",".498","-0.1","-0.1","-1","","Amateur Draft","/2DH"
"118","Jeimer Candelario#","28","DET","115","432","-9","-1","0","-2","2","-10","-1.1","15","5","0.4",".491",".494","0.6","0.0","7","$5,800,000","Traded","*5/DH"
"119","Mark Canha","33","NYM","128","491","13","-2","1","-5","-4","4","0.5","17","21","2.1",".503",".502","2.5","-0.9","26","$13,000,000","Free Agency","*7H/89D35"
"120","Robinson CanÃ³*","39","3TM","33","104","-12","-1","0","-5","0","-17","-1.8","4","-14","-1.5",".444",".496","-1.0","-0.5","-9","$561,538","Purchased","4/DH"
"121","Conner Capel*","25","2TM","10","23","-1","0","0","0","-1","-1","-0.1","1","-1","-0.1",".486",".499","-0.1","-0.1","-1","","Waivers","/9"
"122","Vinny Capra","25","TOR","8","7","0","0","0","0","0","0","0.0","0","0","0.0",".502",".500","0.0","0.0","0","","Amateur Draft","/HD479"
"123","Victor Caratini#","28","MIL","86","282","-5","-1","-1","-1","5","-3","-0.3","10","7","0.6",".496",".498","0.7","0.5","8","","Traded","2H/3D1"
"124","Dylan Carlson#","23","STL","115","438","0","2","0","2","0","4","0.5","15","19","1.9",".503",".502","1.6","0.2","17","","Amateur Draft","*89H/D"
"125","Kerry Carpenter*","24","DET","27","97","3","0","0","-1","-2","2","0.2","3","5","0.5",".506",".501","0.6","-0.3","6","","Amateur Draft","D7/9H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"126","Matt Carpenter*","36","NYY","47","154","20","0","0","0","-2","18","1.9","5","23","2.4",".540",".511","2.4","-0.3","23","","Free Agency","DH9/375"
"127","Corbin Carroll*","21","ARI","19","67","5","-1","0","2","-1","6","0.6","2","8","0.8",".532",".504","0.6","0.2","6","","Amateur Draft","7/H8D9"
"128","Curt Casali","33","2TM","52","162","-1","0","0","5","3","6","0.7","6","12","1.2",".513",".503","0.7","0.9","7","$2,600,000","Traded","2"
"129","Triston Casas*","22","BOS","13","41","-3","0","0","0","0","-4","-0.4","1","-2","-0.3",".469",".497","-0.3","-0.1","-2","","Amateur Draft","3/H"
"130","Nick Castellanos","30","PHI","128","531","-3","0","-1","-11","-5","-20","-2.1","18","-2","-0.4",".483",".487","0.7","-1.6","9","$20,000,000","Free Agency","*9D/7H"
"131","Diego Castillo","28","SEA","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$2,150,000","Traded","1"
"132","Diego Castillo","24","PIT","89","267","-7","0","-1","-7","2","-13","-1.3","9","-4","-0.5",".485",".492","0.3","-0.5","3","","Traded","649H/53D1"
"133","Harold Castro*","28","DET","110","405","-4","-1","0","-11","-1","-17","-1.8","14","-3","-0.5",".484",".489","0.7","-1.4","8","$1,275,000","Amateur Free Agent","3564/HD178"
"134","Jason Castro*","35","HOU","34","88","-9","0","0","-1","2","-8","-0.9","3","-5","-0.6",".473",".494","-0.5","0.1","-4","$3,500,000","Free Agency","2/H"
"135","Rodolfo Castro#","23","PIT","58","227","3","-1","0","0","2","4","0.5","8","12","1.2",".507",".503","1.2","0.3","12","","Amateur Free Agent","465/DH"
"136","Willi Castro#","25","DET","107","382","-7","0","2","3","-1","-3","-0.4","13","10","0.9",".497",".498","0.6","0.2","7","","Traded","97486H/5D"
"137","Jake Cave*","29","MIN","40","126","-1","0","0","3","-1","1","0.0","4","5","0.5",".501",".500","0.2","0.2","2","","Traded","7/9H8"
"138","Gilberto Celestino","23","MIN","109","305","-4","-2","-1","1","1","-5","-0.6","10","5","0.4",".495",".497","0.3","0.1","4","","Traded","*87H/9"
"139","Yu Chang","26","4TM","61","175","-4","0","-1","2","1","-2","-0.2","6","4","0.4",".497",".500","0.2","0.4","2","","Waivers","46/531H"
"140","Matt Chapman","29","TOR","142","568","11","0","-1","1","4","16","1.7","19","36","3.6",".512",".511","3.6","0.5","35","$12,500,000","Traded","*5/HD"
"141","Michael Chavis","26","PIT","126","416","-11","-2","2","3","-5","-13","-1.3","14","2","0.1",".489",".492","-0.3","-0.2","-1","","Traded","*3H4/5D"
"142","Robinson Chirinos","38","BAL","62","204","-8","-2","-1","-1","4","-7","-0.8","7","0","-0.1",".487",".495","0.0","0.3","1","$900,000","Free Agency","2/H"
"143","Jazz Chisholm Jr.*","24","MIA","60","241","9","1","1","4","2","17","1.8","8","25","2.6",".530",".511","2.2","0.6","21","","Traded","4/H"
"144","Ji-Man Choi*","31","TBR","104","388","4","-1","1","-2","-6","-4","-0.5","13","9","0.9",".496",".497","1.1","-0.9","11","$3,200,000","Traded","3DH"
"145","Taylor Clarke","29","KCR","4","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$975,000","Free Agency","1"
"146","Kody Clemens*","26","DET","50","117","-8","1","0","3","-1","-5","-0.6","4","-1","-0.3",".488",".496","-0.6","0.2","-4","","Amateur Draft","53H/471D"
"147","Ernie Clement","26","CLE","63","161","-10","-1","0","3","0","-8","-0.9","6","-2","-0.4",".486",".495","-0.7","0.3","-5","","Amateur Draft","5H47/D31"
"148","Dylan Coleman","25","KCR","4","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"149","Zack Collins*","27","2TM","29","84","-2","0","0","0","-1","-2","-0.2","3","1","0.1",".493",".499","0.1","-0.1","1","","Waivers","/3"
"150","Alex Colome","33","COL","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$4,100,000","Free Agency","1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"151","Mark Contreras*","27","MIN","18","38","-3","0","0","-1","0","-4","-0.5","1","-3","-0.4",".473",".497","-0.3","-0.1","-2","","Amateur Draft","/89H7"
"152","William Contreras","24","ATL","84","327","14","-1","0","-3","2","11","1.2","11","22","2.2",".514",".507","2.5","-0.1","25","","Amateur Free Agent","2D/H7"
"153","Willson Contreras","30","CHC","107","462","19","-1","0","2","2","22","2.3","15","37","3.8",".521",".514","3.6","0.5","35","$9,625,000","Amateur Free Agent","2D/H"
"154","Garrett Cooper","31","MIA","115","454","6","-1","-1","-4","-7","-6","-0.6","16","9","0.8",".494",".496","1.2","-1.2","13","$2,500,000","Traded","3D/H"
"155","Franchy Cordero*","27","BOS","84","275","-3","1","2","-4","-5","-9","-1.0","9","1","-0.1",".489",".494","0.4","-1.0","5","","Traded","397H/D8"
"156","Carlos Correa","27","MIN","124","539","25","-2","-1","2","7","30","3.2","18","48","4.9",".526",".520","4.8","0.9","46","$35,100,000","Free Agency","*6/DH"
"157","Brandon Crawford*","35","SFG","106","407","-8","-2","0","-5","6","-9","-0.9","14","5","0.4",".491",".494","0.9","0.1","10","","Amateur Draft","*6/H"
