"Name","WAR","G...8","AB","R","H...11","HR...12","RBI","SB","BB...15","BA","OBP","SLG","OPS","W","L","ERA","WHIP","GS","SV","IP","H_A","HR_A","BB_A","SO_A","yearID","playerID","MVPCan"
"Heinie Wagner",0.3,110,365,43,83,2,34,9,40,0.227,0.316,0.326,0.642,0,0,0,0,0,0,0,0,0,0,0,1913,"wagnehe01","yes"
"Sam Crawford",5.2,153,609,78,193,9,83,13,52,0.317,0.371,0.489,0.86,0,0,0,0,0,0,0,0,0,0,0,1913,"crawfsa01","yes"
"George McBride",3.4,150,499,52,107,1,52,12,43,0.214,0.286,0.285,0.571,0,0,0,0,0,0,0,0,0,0,0,1913,"mcbrige01","yes"
"Reb Russell",9.2,54,106,9,20,1,7,0,1,0.189,0.204,0.321,0.524,22,16,1.9,1.039,36,4,316.2,250,2,79,122,1913,"russere01","yes"
"Jim Scott",6.8,48,97,3,7,1,8,2,3,0.072,0.109,0.113,0.222,20,21,1.9,1.082,38,1,312.1,252,2,86,158,1913,"scottji01","yes"
"Burt Shotton",4.9,147,549,105,163,1,28,43,99,0.297,0.405,0.373,0.779,0,0,0,0,0,0,0,0,0,0,0,1913,"shottbu01","yes"
"George Stovall",1.3,89,303,34,87,1,24,7,7,0.287,0.305,0.363,0.669,0,0,0,0,0,0,0,0,0,0,0,1913,"stovage01","yes"
"Ty Cobb",7.4,122,429,70,167,4,67,51,58,0.389,0.466,0.534,1,0,0,0,0,0,0,0,0,0,0,0,1913,"cobbty01","yes"
"Ray Schalk",1.8,129,401,38,98,1,38,14,27,0.244,0.297,0.314,0.611,0,0,0,0,0,0,0,0,0,0,0,1913,"schalra01","yes"
"Charles Bender",3.5,48,78,7,12,0,10,1,6,0.154,0.214,0.218,0.432,21,10,2.21,1.128,21,13,236.2,208,2,59,135,1913,"bendech01","yes"
"Terry Turner",2.3,120,388,60,96,0,44,13,55,0.247,0.348,0.302,0.65,0,0,0,0,0,0,0,0,0,0,0,1913,"turnete01","yes"
"Harry Hooper",3.1,148,586,100,169,4,40,26,60,0.288,0.359,0.399,0.759,0,0,0,1.5,0,0,2,2,0,1,0,1913,"hoopeha01","yes"
"Steve O'Neill",1.8,80,234,19,69,0,29,5,10,0.295,0.329,0.376,0.705,0,0,0,0,0,0,0,0,0,0,0,1913,"oneilst01","yes"
"Eddie Collins",9.1,152,526,122,181,2,85,58,97,0.344,0.452,0.452,0.904,0,0,0,0,0,0,0,0,0,0,0,1914,"collied01","yes"
"Sam Crawford",6.2,157,582,74,183,8,104,25,69,0.314,0.388,0.483,0.871,0,0,0,0,0,0,0,0,0,0,0,1914,"crawfsa01","yes"
"Home Run Baker",7.4,150,570,84,182,9,89,19,53,0.319,0.38,0.442,0.822,0,0,0,0,0,0,0,0,0,0,0,1914,"bakerfr01","yes"
"Donie Bush",5.6,157,596,97,150,0,32,35,112,0.252,0.373,0.295,0.668,0,0,0,0,0,0,0,0,0,0,0,1914,"bushdo01","yes"
"Shoeless Joe Jackson",4.6,122,453,61,153,3,53,22,41,0.338,0.399,0.464,0.862,0,0,0,0,0,0,0,0,0,0,0,1914,"jacksjo01","yes"
"Ray Schalk",4.2,136,392,30,106,0,36,24,38,0.27,0.347,0.314,0.661,0,0,0,0,0,0,0,0,0,0,0,1914,"schalra01","yes"
"Eddie Foster",3.3,157,616,82,174,2,50,31,60,0.282,0.348,0.351,0.699,0,0,0,0,0,0,0,0,0,0,0,1914,"fosteed02","yes"
"Stuffy McInnis",3.8,149,576,74,181,1,95,25,19,0.314,0.341,0.368,0.709,0,0,0,0,0,0,0,0,0,0,0,1914,"mcinnst01","yes"
"Buck Weaver",1.2,136,541,64,133,2,28,14,20,0.246,0.279,0.327,0.606,0,0,0,0,0,0,0,0,0,0,0,1914,"weavebu01","yes"
"Del Pratt",4.6,158,584,85,165,5,65,37,50,0.283,0.341,0.411,0.752,0,0,0,0,0,0,0,0,0,0,0,1914,"prattde01","yes"
"Wally Schang",4.3,107,307,44,88,3,45,7,32,0.287,0.371,0.404,0.775,0,0,0,0,0,0,0,0,0,0,0,1914,"schanwa01","yes"
"Tris Speaker",9.9,158,571,101,193,4,90,42,77,0.338,0.423,0.503,0.926,0,0,9,2,0,0,1,2,0,0,0,1914,"speaktr01","yes"
"Tillie Walker",5.8,151,517,67,154,6,78,29,51,0.298,0.365,0.441,0.806,0,0,0,0,0,0,0,0,0,0,0,1914,"walketi01","yes"
"Ty Cobb",5.6,98,345,69,127,2,57,35,57,0.368,0.466,0.513,0.979,0,0,0,0,0,0,0,0,0,0,0,1914,"cobbty01","yes"
"Everett Scott",2.5,144,539,66,129,2,37,9,32,0.239,0.286,0.301,0.586,0,0,0,0,0,0,0,0,0,0,0,1914,"scottev01","yes"
"Jack Barry",4.3,140,467,57,113,0,42,22,53,0.242,0.324,0.268,0.592,0,0,0,0,0,0,0,0,0,0,0,1914,"barryja01","yes"
"Dutch Leonard",9.3,36,68,3,10,0,4,0,4,0.147,0.194,0.162,0.356,19,5,0.96,0.886,25,3,224.2,139,3,60,176,1914,"leonadu01","yes"
"George McBride",1.9,157,503,49,102,0,24,12,43,0.203,0.274,0.243,0.516,0,0,0,0,0,0,0,0,0,0,0,1914,"mcbrige01","yes"
"Eddie Plank",2,34,60,6,9,0,5,1,4,0.15,0.203,0.183,0.386,15,7,2.87,1.187,22,3,185.1,178,2,42,110,1914,"planked01","yes"
"Harry Hooper",3.6,142,530,85,137,1,41,19,58,0.258,0.336,0.364,0.7,0,0,0,0,0,0,0,0,0,0,0,1914,"hoopeha01","yes"
"Duffy Lewis",3.1,146,510,53,142,2,79,22,57,0.278,0.357,0.398,0.755,0,0,0,0,0,0,0,0,0,0,0,1914,"lewisdu01","yes"
"Fritz Maisel",3.6,150,548,78,131,2,47,74,76,0.239,0.334,0.325,0.659,0,0,0,0,0,0,0,0,0,0,0,1914,"maisefr01","yes"
"Sam Agnew",0.9,115,311,22,66,0,16,10,24,0.212,0.279,0.254,0.533,0,0,0,0,0,0,0,0,0,0,0,1914,"agnewsa01","yes"
"Roy Hartzell",1.5,137,481,55,112,1,32,22,68,0.233,0.335,0.308,0.643,0,0,0,0,0,0,0,0,0,0,0,1914,"hartzro01","yes"
"Clyde Milan",2.6,115,437,63,129,1,39,38,32,0.295,0.346,0.396,0.742,0,0,0,0,0,0,0,0,0,0,0,1914,"milancl01","yes"
"Roger Peckinpaugh",3.2,157,570,55,127,3,51,38,51,0.223,0.288,0.284,0.572,0,0,0,0,0,0,0,0,0,0,0,1914,"peckiro01","yes"
"Eddie Cicotte",3.7,45,86,5,14,0,4,0,3,0.163,0.191,0.186,0.377,11,16,2.04,1.084,30,3,269.1,220,0,72,122,1914,"cicoted01","yes"
"George Moriarty",4.5,132,465,56,118,1,40,34,39,0.254,0.318,0.323,0.641,0,0,0,0,0,0,0,0,0,0,0,1914,"moriage02","yes"
"George Sisler",8.7,142,586,134,246,8,105,51,49,0.42,0.467,0.594,1.061,0,0,0,0,0,0,0,0,0,0,0,1922,"sislege01","yes"
"Eddie Rommel",7.2,51,94,3,17,0,7,0,3,0.181,0.206,0.213,0.419,27,13,3.28,1.214,33,2,294,294,21,63,54,1922,"rommeed01","yes"
"Ray Schalk",3.8,142,442,57,124,4,60,12,67,0.281,0.379,0.371,0.75,0,0,0,0,0,0,0,0,0,0,0,1922,"schalra01","yes"
"Bullet Joe Bush",5,39,95,15,31,0,12,0,3,0.326,0.347,0.432,0.779,26,7,3.31,1.273,30,3,255.1,240,16,85,92,1922,"bushjo01","yes"
"Eddie Collins",3.9,154,598,92,194,1,69,20,73,0.324,0.401,0.403,0.804,0,0,0,0,0,0,0,0,0,0,0,1922,"collied01","yes"
"Johnny Bassler",3,121,372,41,120,0,41,2,62,0.323,0.422,0.36,0.782,0,0,0,0,0,0,0,0,0,0,0,1922,"bassljo01","yes"
"Steve O'Neill",2.8,133,392,33,122,2,65,2,73,0.311,0.423,0.416,0.839,0,0,0,0,0,0,0,0,0,0,0,1922,"oneilst01","yes"
"Joe Judge",2.2,148,591,84,174,10,81,5,50,0.294,0.355,0.45,0.806,0,0,0,0,0,0,0,0,0,0,0,1922,"judgejo01","yes"
"Wally Pipp",4.5,152,577,96,190,9,94,7,56,0.329,0.392,0.466,0.859,0,0,0,0,0,0,0,0,0,0,0,1922,"pippwa01","yes"
"Lu Blue",3.7,145,584,131,175,6,45,8,82,0.3,0.392,0.414,0.807,0,0,0,0,0,0,0,0,0,0,0,1922,"bluelu01","yes"
"Chick Galloway",2.7,155,571,83,185,6,69,10,39,0.324,0.368,0.433,0.801,0,0,0,0,0,0,0,0,0,0,0,1922,"galloch01","yes"
"Harry Heilmann",5.4,118,455,92,162,21,92,8,58,0.356,0.432,0.598,1.03,0,0,0,0,0,0,0,0,0,0,0,1922,"heilmha01","yes"
"Del Pratt",3,154,607,73,183,6,86,7,53,0.301,0.361,0.427,0.788,0,0,0,0,0,0,0,0,0,0,0,1922,"prattde01","yes"
"Wally Schang",4.2,124,408,46,130,1,52,12,53,0.319,0.405,0.412,0.816,0,0,0,0,0,0,0,0,0,0,0,1922,"schanwa01","yes"
"Bob Meusel",3.2,121,473,61,151,16,88,13,40,0.319,0.376,0.522,0.898,0,0,0,0,0,0,0,0,0,0,0,1922,"meusebo01","yes"
"Everett Scott",2.4,154,557,64,150,3,50,2,23,0.269,0.304,0.345,0.649,0,0,0,0,0,0,0,0,0,0,0,1922,"scottev01","yes"
"Walter Johnson",5.4,43,108,8,22,1,15,0,2,0.204,0.218,0.259,0.477,15,16,2.99,1.364,31,4,280,283,8,99,105,1922,"johnswa01","yes"
"Urban Shocker",7.4,48,115,14,22,1,6,1,14,0.191,0.279,0.261,0.54,24,17,2.97,1.213,38,3,348,365,22,57,149,1922,"shockur01","yes"
"Charlie Jamieson",2.8,145,567,87,183,3,57,15,54,0.323,0.388,0.429,0.816,0,0,3.18,1.941,0,0,5.2,7,0,4,2,1922,"jamiech01","yes"
"Joe Sewell",2.8,153,558,80,167,2,83,10,73,0.299,0.386,0.385,0.771,0,0,0,0,0,0,0,0,0,0,0,1922,"seweljo01","yes"
"George Burns",2.4,147,558,71,171,12,73,8,20,0.306,0.341,0.446,0.787,0,0,0,0,0,0,0,0,0,0,0,1922,"burnsge01","yes"
"Jimmy Dykes",2.6,145,501,66,138,12,68,6,55,0.275,0.359,0.421,0.78,0,0,0,0,0,0,0,0,0,0,0,1922,"dykesji01","yes"
"Bucky Harris",2.2,154,602,95,162,2,40,25,52,0.269,0.341,0.346,0.687,0,0,0,0,0,0,0,0,0,0,0,1922,"harribu01","yes"
"Roger Peckinpaugh",2.4,147,520,62,132,2,48,11,55,0.254,0.329,0.308,0.636,0,0,0,0,0,0,0,0,0,0,0,1922,"peckiro01","yes"
"Bill Wambsganss",-0.4,142,538,89,141,0,47,17,60,0.262,0.341,0.325,0.666,0,0,0,0,0,0,0,0,0,0,0,1922,"wambsbi01","yes"
"George Cutshaw",-0.2,132,499,57,133,2,61,11,20,0.267,0.3,0.339,0.639,0,0,0,0,0,0,0,0,0,0,0,1922,"cutshge01","yes"
"Cy Perkins",1.1,148,505,58,135,6,69,1,40,0.267,0.322,0.366,0.689,0,0,0,0,0,0,0,0,0,0,0,1922,"perkicy01","yes"
"Babe Ruth",14.2,152,522,151,205,41,130,17,170,0.393,0.545,0.764,1.309,0,0,0,0,0,0,0,0,0,0,0,1923,"ruthba01","yes"
"Eddie Collins",6.4,145,505,89,182,5,67,48,84,0.36,0.455,0.453,0.909,0,0,0,0,0,0,0,0,0,0,0,1923,"collied01","yes"
