Name,yearID,playerID,MVPCan
J.R. Richard,1976,richaj.01,yes
J.R. Richard,1979,richaj.01,yes
Dave Roberts,1971,roberda05,yes
David Robertson,2011,roberda08,yes
Bill Robinson,1977,robinbi02,yes
Frank Robinson,1956,robinfr02,yes
Frank Robinson,1957,robinfr02,yes
Frank Robinson,1958,robinfr02,yes
Frank Robinson,1959,robinfr02,yes
Frank Robinson,1960,robinfr02,yes
Frank Robinson,1961,robinfr02,yes
Frank Robinson,1962,robinfr02,yes
Frank Robinson,1964,robinfr02,yes
Frank Robinson,1965,robinfr02,yes
Frank Robinson,1967,robinfr02,yes
Frank Robinson,1969,robinfr02,yes
Frank Robinson,1970,robinfr02,yes
Frank Robinson,1971,robinfr02,yes
Frank Robinson,1973,robinfr02,yes
Jackie Robinson,1948,robinfr02,yes
Jackie Robinson,1949,robinfr02,yes
Jackie Robinson,1950,robinfr02,yes
Jackie Robinson,1951,robinfr02,yes
Jackie Robinson,1952,robinfr02,yes
Jackie Robinson,1953,robinfr02,yes
Jackie Robinson,1956,robinfr02,yes
Francisco Rodriguez,2008,rodrifr03,yes
Home Run Baker,1911,bakerfr01,yes
Home Run Baker,1912,bakerfr01,yes
Home Run Baker,1913,bakerfr01,yes
Home Run Baker,1914,bakerfr01,yes
Jack Sanford,1957,sanfoja02,yes
Jack Sanford,1962,sanfoja02,yes
Charles Schmidt,1914,schmibu01,yes
Hal Schumacher,1934,schumha02,yes
George Scott,1971,scottge02,yes
George Scott,1972,scottge02,yes
George Scott,1973,scottge02,yes
George Scott,1974,scottge02,yes
George Scott,1975,scottge02,yes
George Scott,1977,scottge02,yes
Mike Scott,1986,scottmi03,yes
Mike Scott,1989,scottmi03,yes
James Shields,2014,shielja02,yes
Chris Short,1966,shortch02,yes
Al Smith,1943,smithal03,yes
Al Smith,1955,smithal04,yes
Al Smith,1960,smithal04,yes
Al Smith,1961,smithal04,yes
Al Smith,1962,smithal04,yes
Lee Smith,1983,smithle02,yes
Lee Smith,1991,smithle02,yes
Lee Smith,1994,smithle02,yes
Reggie Smith,1969,smithre06,yes
Reggie Smith,1970,smithre06,yes
Reggie Smith,1971,smithre06,yes
Reggie Smith,1972,smithre06,yes
Reggie Smith,1974,smithre06,yes
Reggie Smith,1977,smithre06,yes
Reggie Smith,1978,smithre06,yes
J.T. Snow,1997,snowj.01,yes
Giancarlo Stanton,2011,stantmi03,yes
Giancarlo Stanton,2012,stantmi03,yes
Giancarlo Stanton,2014,stantmi03,yes
Giancarlo Stanton,2017,stantmi03,yes
Giancarlo Stanton,2018,stantmi03,yes
Dee Strange-Gordon,2014,gordode01,yes
Dee Strange-Gordon,2015,gordode01,yes
Billy Sullivan,1932,sullibi04,yes
B.J. Surhoff,1999,surhob.01,yes
Bill Sweeney,1912,sweenbi02,yes
Bill Sweeney,1913,sweenbi02,yes
Fernando Tatis Jr.,2021,tatisfe02,yes
Frank Thomas,1953,thomafr03,yes
Frank Thomas,1954,thomafr03,yes
Frank Thomas,1955,thomafr03,yes
Frank Thomas,1957,thomafr03,yes
Frank Thomas,1958,thomafr03,yes
Frank Thomas,1991,thomafr04,yes
Frank Thomas,1992,thomafr04,yes
